price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
8.5,82.0,3.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,4.6,Long Biên
7.5,50.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,4.0,5.834717791411043,Ngoại thành
18.5,60.0,4.0,8.0,1,1,1,0,Nhà trong hẻm,8.498443223443223,5.834717791411043,Bắc Từ Liêm
18.0,74.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,0.0,0.0,Ngoại thành
2.0,48.0,1.0,2.0,1,1,1,1,Căn hộ chung cư,40.0,6.0,Hoàng Mai
9.0,64.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.2,Long Biên
22.0,72.0,5.0,6.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Thanh Xuân
5.4,25.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,4.1,Đống Đa
9.0,42.0,6.0,10.0,1,1,1,0,Nhà mặt phố,4.0,3.5,Nam Từ Liêm
6.2,70.0,5.0,5.0,1,1,1,1,Nhà mặt phố,10.0,5.834717791411043,Ngoại thành
21.6,64.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,8.0,5.834717791411043,Đống Đa
7.6,39.0,1.0,5.0,1,1,1,1,Nhà mặt phố,4.0,4.6,Tây Hồ
8.2,42.0,1.0,1.0,0,0,0,0,Nhà trong hẻm,5.0,3.5,Ngoại thành
1.65,87.0,5.0,5.0,0,0,0,0,Nhà mặt phố,6.0,5.0,Ngoại thành
7.7,35.0,5.0,4.0,1,1,1,1,Nhà mặt phố,5.0,3.0,Hoàng Mai
7.0,30.0,4.0,4.0,0,1,1,0,Nhà mặt phố,8.0,5.834717791411043,Nam Từ Liêm
10.6,50.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,5.834717791411043,Hoàng Mai
40.0,80.0,9.0,7.0,1,1,1,1,Nhà mặt phố,10.0,5.0,Cầu Giấy
83.0,120.0,9.0,10.0,0,0,0,0,Nhà mặt phố,10.0,5.834717791411043,Hoàng Mai
19.0,50.0,7.0,4.0,1,1,1,1,Nhà mặt phố,20.0,3.8,Hai Bà Trưng
17.1,35.0,5.0,6.0,0,0,0,0,Nhà mặt phố,12.0,3.1,Tây Hồ
3.15,26.0,5.0,3.0,0,0,0,0,Căn hộ chung cư,8.498443223443223,5.834717791411043,Thanh Xuân
5.8,35.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,2.3,4.3,Long Biên
13.0,65.0,4.0,4.0,1,1,1,0,Nhà trong hẻm,4.0,4.5,Cầu Giấy
13.0,50.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,6.0,4.2,Bắc Từ Liêm
20.0,85.0,6.0,20.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Thanh Xuân
10.3,52.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,4.0,47.0,Long Biên
22.5,80.0,4.0,4.0,1,1,1,1,Nhà mặt phố,8.0,7.0,Nam Từ Liêm
1.95,30.0,1.0,1.0,1,1,0,1,Căn hộ chung cư,8.498443223443223,5.834717791411043,Gia Lâm
19.7,84.0,8.0,8.0,1,1,1,1,Nhà mặt phố,15.0,5.3,Hai Bà Trưng
21.0,83.0,7.0,4.0,1,1,1,1,Nhà trong hẻm,5.0,5.6,Long Biên
88.0,220.0,8.0,4.0,0,0,0,0,Nhà mặt phố,30.0,25.0,Hà Đông
10.95,65.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,6.0,0.0,Bắc Từ Liêm
18.2,68.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,5.0,5.4,Cầu Giấy
4.55,65.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.5,Đông Anh
9.1,63.0,4.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,3.5,Long Biên
30.0,85.0,4.0,5.0,1,1,1,1,Nhà mặt phố,30.0,4.2,Hà Đông
100.0,240.0,5.0,8.0,1,1,1,1,Nhà mặt phố,25.0,15.0,Cầu Giấy
4.88,39.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Nam Từ Liêm
10.7,45.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,8.0,4.0,Hà Đông
23.9,90.0,1.0,1.0,1,1,1,1,Nhà mặt phố,20.0,9.0,Tây Hồ
21.39,79.0,6.0,4.0,1,1,1,1,Nhà mặt phố,10.0,5.0,Long Biên
27.9,85.0,4.0,4.0,1,1,1,1,Nhà mặt phố,8.0,4.0,Thanh Xuân
14.5,70.0,6.0,5.0,1,1,1,0,Nhà trong hẻm,2.5,4.5,Tây Hồ
82.0,150.0,7.0,4.0,0,0,0,0,Nhà mặt phố,8.0,5.0,Ba Đình
6.5,71.0,5.0,5.0,0,0,0,0,Nhà mặt phố,6.0,3.7,Đông Anh
13.5,70.0,6.0,7.0,0,0,0,0,Nhà mặt phố,6.0,5.834717791411043,Thanh Xuân
10.2,46.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,3.5,Hoàng Mai
45.0,178.0,8.0,4.0,0,0,0,0,Nhà mặt phố,7.0,6.2,Tây Hồ
90.0,1.0,5.0,5.0,0,0,0,0,Nhà mặt phố,40.0,45.0,Long Biên
9.3,52.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Thanh Xuân
6.35,30.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Cầu Giấy
17.5,85.0,6.0,10.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Đống Đa
14.0,40.0,5.0,3.0,1,1,1,1,Nhà mặt phố,15.0,6.0,Ba Đình
2.4,86.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Ngoại thành
69.8,170.0,6.0,8.0,1,1,1,1,Nhà mặt phố,15.0,26.0,Thanh Xuân
22.5,65.0,10.0,16.0,0,1,1,1,Nhà trong hẻm,18.0,5.0,Cầu Giấy
19.5,84.0,5.0,5.0,0,0,0,0,Nhà mặt phố,10.0,6.0,Gia Lâm
8.0,40.0,6.0,6.0,0,0,0,0,Nhà trong hẻm,5.0,5.0,Tây Hồ
1.9,45.0,5.0,5.0,0,0,0,1,Nhà mặt phố,4.0,4.5,Ngoại thành
16.6,94.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,5.834717791411043,Thanh Xuân
7.5,32.0,4.0,3.0,1,1,1,1,Nhà trong hẻm,10.0,4.0,Bắc Từ Liêm
35.0,84.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.834717791411043,Cầu Giấy
28.0,120.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Hai Bà Trưng
5.9,35.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.834717791411043,Nam Từ Liêm
