price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
10.3,48.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Tây Hồ
8.8,53.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,6.0,Hai Bà Trưng
2.1,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Ngoại thành
9.6,45.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,4.5,Thanh Xuân
3.5,173.0,5.0,5.0,0,0,0,0,Nhà mặt phố,7.0,5.0,Ngoại thành
10.8,40.0,7.0,10.0,1,1,1,1,Nhà trong hẻm,3.0,5.0,Ba Đình
2.25,79.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.0,Ngoại thành
15.98,52.0,7.0,15.0,1,1,1,1,Nhà mặt phố,4.0,5.834717791411043,Nam Từ Liêm
13.5,121.0,1.0,4.0,1,1,0,1,Căn hộ chung cư,5.0,12.0,Hà Đông
30.0,55.0,9.0,8.0,1,1,1,1,Nhà mặt phố,10.0,5.0,Hà Đông
6.65,36.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,2.0,5.834717791411043,Long Biên
13.9,65.0,7.0,17.0,0,0,0,0,Nhà trong hẻm,2.5,5.834717791411043,Bắc Từ Liêm
10.0,45.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,3.0,5.0,Thanh Xuân
7.6,35.0,5.0,8.0,1,1,1,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
2.1,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.6,Ngoại thành
16.6,64.0,5.0,4.0,1,1,1,1,Nhà mặt phố,6.0,5.834717791411043,Long Biên
8.26,38.0,6.0,10.0,1,1,1,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
2.1,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.64,Ngoại thành
10.3,45.0,5.0,3.0,1,1,1,0,Nhà mặt phố,3.5,5.2,Cầu Giấy
20.5,42.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,8.0,5.834717791411043,Cầu Giấy
14.5,79.0,7.0,12.0,0,0,0,0,Nhà mặt phố,5.0,7.0,Hoàng Mai
25.8,55.0,6.0,5.0,1,1,1,1,Nhà mặt phố,6.0,4.5,Cầu Giấy
33.0,64.0,6.0,6.0,1,1,1,1,Nhà mặt phố,10.0,4.2,Đống Đa
26.5,48.0,5.0,6.0,1,1,1,1,Nhà mặt phố,14.0,4.0,Cầu Giấy
21.5,54.0,7.0,5.0,1,1,1,1,Nhà mặt phố,6.0,5.0,Cầu Giấy
17.0,45.0,5.0,6.0,1,1,1,1,Nhà mặt phố,7.0,5.834717791411043,Cầu Giấy
42.5,71.0,5.0,4.0,1,1,1,1,Nhà mặt phố,10.0,3.7,Tây Hồ
28.5,60.0,7.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,4.8,Cầu Giấy
8.2,37.0,6.0,10.0,1,1,1,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
7.5,42.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,3.5,5.834717791411043,Long Biên
5.0,40.0,4.0,3.0,1,1,1,0,Nhà trong hẻm,2.0,4.2,Hoàn Kiếm
25.9,88.0,8.0,16.0,1,1,1,1,Nhà trong hẻm,3.5,8.0,Thanh Xuân
18.0,45.0,7.0,4.0,0,0,0,0,Nhà mặt phố,12.0,5.834717791411043,Hà Đông
25.0,60.0,7.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.834717791411043,Đống Đa
28.0,150.0,1.0,1.0,0,0,0,0,Nhà mặt phố,7.0,5.834717791411043,Cầu Giấy
10.5,80.0,5.0,10.0,1,0,1,1,Nhà trong hẻm,2.5,7.0,Đống Đa
14.5,45.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,5.0,4.5,Cầu Giấy
17.8,50.0,7.0,5.0,1,1,1,1,Nhà mặt phố,10.0,5.834717791411043,Hà Đông
5.6,32.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,2.5,3.2,Hai Bà Trưng
24.7,65.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,5.0,5.5,Cầu Giấy
13.6,50.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,6.0,4.2,Cầu Giấy
64.0,103.0,8.0,8.0,1,1,1,1,Nhà trong hẻm,5.0,11.0,Cầu Giấy
10.6,50.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,5.834717791411043,Hoàng Mai
12.8,42.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,4.0,Tây Hồ
8.8,45.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,3.0,4.0,Cầu Giấy
7.4,42.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,3.0,4.0,Cầu Giấy
4.05,85.0,6.0,6.0,0,0,0,1,Nhà mặt phố,15.0,6.0,Nam Từ Liêm
3.5,150.0,5.0,5.0,0,0,0,0,Nhà mặt phố,7.0,5.834717791411043,Ngoại thành
10.7,42.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,3.5,5.834717791411043,Cầu Giấy
2.75,15.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,3.0,Hai Bà Trưng
12.5,50.0,4.0,4.0,0,0,0,1,Nhà mặt phố,3.5,5.834717791411043,Đống Đa
2.9,54.0,1.0,2.0,1,1,0,0,Căn hộ chung cư,8.498443223443223,5.834717791411043,Hoàng Mai
15.9,40.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,7.0,5.0,Ba Đình
20.9,60.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,3.5,Cầu Giấy
5.75,39.0,4.0,5.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hà Đông
15.5,50.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,10.0,Cầu Giấy
23.5,75.0,7.0,10.0,1,1,1,1,Nhà trong hẻm,3.0,4.7,Tây Hồ
16.0,110.0,2.0,2.0,1,1,1,0,Nhà trong hẻm,2.5,3.5,Tây Hồ
6.35,35.0,4.0,3.0,0,0,0,0,Nhà mặt phố,9.0,5.834717791411043,Hà Đông
8.0,80.0,5.0,5.0,0,0,0,0,Nhà mặt phố,11.0,5.0,Gia Lâm
