Id,TARGET
0,18.4
1,8.05
2,17.4
3,3.7
4,7.8
5,11.45
6,25.8
7,27.5
8,30.2
9,9.1
10,3.0
11,18.8
12,48.0
13,4.9
14,8.5
15,4.85
16,8.2
17,3.53
18,8.3
19,6.9
20,9.3
21,10.2
22,9.0
23,22.5
24,22.25
25,11.6
26,3.6
27,1.7
28,14.0
29,6.0
30,7.6
31,4.0
32,6.6825
33,5.3
34,17.8
35,13.5
36,5.67
37,9.85
38,2.98
39,8.8
40,7.8
41,34.0
42,27.5
43,34.0
44,12.3
45,7.35
46,3.15
47,5.7
48,9.5
49,13.5
50,6.0
51,26.2
52,16.9
53,6.8
54,4.75
55,33.5
56,2.3
57,3.7
58,4.0
59,4.0
60,22.0
61,21.0
62,25.0
63,1.9
64,6.3
65,6.95
66,13.2
67,28.5
68,4.5
69,9.3
70,12.0
71,12.0
72,6.3
73,6.98
74,7.95
75,45.0
76,4.0
77,25.5
78,8.0
79,20.5
80,3.79
81,4.92
82,5.67
83,28.0
84,6.75
85,4.025
86,26.0
87,5.67
88,9.8
89,7.2
90,7.8
91,19.0
92,2.98
93,5.2
94,7.75
95,11.8
96,9.8
97,11.2
98,6.8
99,6.5
100,5.325
101,29.0
102,17.5
103,5.3
104,15.0
105,10.2
106,9.9
107,6.0
108,6.0
109,6.25
110,14.0
111,7.5
112,10.2
113,2.5
114,22.0
115,21.9
116,32.0
117,6.8
118,13.4
119,34.0
120,22.0
121,8.8
122,6.5
123,2.3
124,13.0
125,22.0
126,14.0
127,28.5
128,5.65
129,13.5
130,12.0
131,7.0
132,1.5
133,8.3
134,14.8
135,15.3
136,16.3
137,1.525
138,6.0
139,10.0
140,4.25
141,8.9
142,9.3
143,32.5
144,6.35
145,9.25
146,16.0
147,9.7
148,7.9
149,7.7
150,5.75
151,7.3
152,11.1
153,30.0
154,9.488
155,6.0249999999999995
156,28.8
157,22.0
158,4.55
159,5.5
160,17.6
161,4.39
162,16.5
163,8.4
164,30.0
165,16.0
166,11.8
167,16.5
168,10.7
169,2.4
170,33.0
171,12.0
172,22.5
173,9.9
174,3.35
175,11.9
176,6.3
177,10.0
178,4.08
179,7.65
180,3.65
181,8.8
182,5.0
183,19.0
184,4.7
185,35.5
186,9.8
187,14.0
188,15.88
189,17.9
190,9.8
191,5.8
192,14.6
193,6.0249999999999995
194,42.0
195,3.8
196,6.925
197,8.2
198,8.0
199,39.3
200,3.15
201,9.8
202,11.7
203,45.8
204,5.95
205,12.0
206,4.25
207,13.9
208,12.0
209,7.89
210,12.9
211,6.7
212,17.3
213,13.5
214,10.4
215,23.0
216,16.8
217,33.9
218,6.25
219,13.5
220,13.5
221,7.6
222,22.0
223,2.0
224,46.4
225,20.6
226,10.2
227,23.3
228,11.3
229,11.2
230,16.5
231,8.2
232,23.5
233,6.0
234,9.8
235,45.0
236,8.2
237,17.6
238,19.5
239,35.5
240,5.325
241,21.5
242,3.6
243,22.0
244,49.8
245,15.5
246,4.08
247,1.01
248,10.7
249,23.0
250,3.8
251,13.1
252,6.3
253,19.0
254,3.65
255,5.5
256,8.5
257,14.0
258,4.0
259,11.2
260,22.0
261,3.8
262,21.9
263,14.0
264,8.9
265,8.6
266,21.5
267,13.5
268,15.2
269,10.5
270,4.174
271,25.5
272,23.0
273,21.5
274,20.0
275,17.4
276,3.1
277,5.85
278,30.7
279,12.3
280,27.2
281,29.0
282,17.4
283,23.0
284,36.6
285,11.0
286,29.0
287,10.9
288,9.7
289,5.4
290,8.0
291,8.999
292,4.75
293,25.0
294,4.0
295,7.3
296,4.85
297,1.01
298,3.8
299,17.9
300,5.7
301,3.6
302,9.488
303,8.5
304,5.99
305,10.8
306,14.0
307,42.6
308,6.0249999999999995
309,14.8
310,3.1
311,1.9
312,18.8
313,23.9
314,4.0
315,10.5
316,7.35
317,12.5
318,6.95
319,5.65
320,8.5
321,3.1
322,3.35
323,4.2
324,15.0
325,11.0
326,21.7
327,19.0
328,18.2
329,26.5
330,5.0
331,27.0
332,20.9
333,6.15
334,5.55
335,6.95
336,3.7
337,10.8
338,4.4
339,8.0
340,31.233333333333334
341,32.0
342,1.9
343,2.1
344,17.5
345,12.3
346,20.5
347,22.0
348,7.6
349,14.2
350,2.43
